광종,단위,국가,매장량
ANTIMONY,metric tons,United States,60000
ANTIMONY,metric tons,Australia,140000
ANTIMONY,metric tons,Bolivia,310000
ANTIMONY,metric tons,Burma,140000
ANTIMONY,metric tons,Canada,78000
ANTIMONY,metric tons,China,670000
ANTIMONY,metric tons,Kyrgyzstan,260000
ANTIMONY,metric tons,Mexico,18000
ANTIMONY,metric tons,Pakistan,26000
ANTIMONY,metric tons,Russia (recoverable),350000
ANTIMONY,metric tons,Tajikistan,50000
ANTIMONY,metric tons,Turkey,99000
ANTIMONY,metric tons,World total (rounded),2000000
ASBESTOS,metric tons,Brazil,11000000
ASBESTOS,metric tons,China,18000000
ASBESTOS,metric tons,Russia,110000000
BARITE,thousand metric tons,China,110000
BARITE,thousand metric tons,India,51000
BARITE,thousand metric tons,Iran,100000
BARITE,thousand metric tons,Kazakhstan,85000
BARITE,thousand metric tons,Russia,12000
BARITE,thousand metric tons,Turkey,34000
BAUXITE,thousand metric dry tons,United States,20000
BAUXITE,thousand metric dry tons,Australia,3500000
BAUXITE,thousand metric dry tons,Brazil,2700000
BAUXITE,thousand metric dry tons,China,680000
BAUXITE,thousand metric dry tons,Guinea,7400000
BAUXITE,thousand metric dry tons,India,650000
BAUXITE,thousand metric dry tons,Indonesia,2800000
BAUXITE,thousand metric dry tons,Jamaica,2000000
BAUXITE,thousand metric dry tons,Kazakhstan,280000
BAUXITE,thousand metric dry tons,Russia,480000
BAUXITE,thousand metric dry tons,Saudi Arabia,180000
BAUXITE,thousand metric dry tons,Turkey,69000
BAUXITE,thousand metric dry tons,Vietnam,3100000
BAUXITE,thousand metric dry tons,Other countries,5300000
BAUXITE,thousand metric dry tons,World total (rounded),29000000
BORON,thousand metric tons,United States,48000
BORON,thousand metric tons,"Chile, ulexite",35000
BORON,thousand metric tons,"China, boric oxide equivalent",20000
BORON,thousand metric tons,"Peru, crude borates",4000
BORON,thousand metric tons,"Russia, datolite ore",40000
BORON,thousand metric tons,"Turkey, refined borates",950000
BROMINE,metric tons,United States,11000000
BROMINE,metric tons,Azerbaijan,300000
BROMINE,metric tons,China,130000
CHROMIUM,thousand metric tons,United States,630
CHROMIUM,thousand metric tons,Finland,8300
CHROMIUM,thousand metric tons,India,79000
CHROMIUM,thousand metric tons,Kazakhstan,230000
CHROMIUM,thousand metric tons,South Africa,200000
CHROMIUM,thousand metric tons,Turkey,27000
CHROMIUM,thousand metric tons,World total (rounded),560000
COBALT,metric tons,United States,69000
COBALT,metric tons,Australia,1700000
COBALT,metric tons,Canada,230000
COBALT,metric tons,Congo (Kinshasa),6000000
COBALT,metric tons,Cuba,500000
COBALT,metric tons,Indonesia,500000
COBALT,metric tons,Madagascar,100000
COBALT,metric tons,Papua New Guinea,49000
COBALT,metric tons,Philippines,260000
COBALT,metric tons,Russia,250000
COBALT,metric tons,Turkey,91000
COBALT,metric tons,Other countries,780000
COBALT,metric tons,World total (rounded),11000000
COPPER,thousand metric tons,United States,50000
COPPER,thousand metric tons,Australia,100000
COPPER,thousand metric tons,Canada,7600
COPPER,thousand metric tons,Chile,190000
COPPER,thousand metric tons,China,41000
COPPER,thousand metric tons,Congo (Kinshasa),80000
COPPER,thousand metric tons,Indonesia,24000
COPPER,thousand metric tons,Kazakhstan,20000
COPPER,thousand metric tons,Mexico,53000
COPPER,thousand metric tons,Peru,120000
COPPER,thousand metric tons,Poland,34000
COPPER,thousand metric tons,Russia,80000
COPPER,thousand metric tons,Zambia,21000
COPPER,thousand metric tons,Other countries,180000
COPPER,thousand metric tons,World total (rounded),1000000
DIAMOND (INDUSTRIAL),million carats,Angola,150
